ActionGeo_Fullname (52)	ActionGeo_Lat (56)	ActionGeo_Long (57)	Actor1Name (6)	Actor1Geo_Fullname (36)	Actor2Name (16)	Actor2Geo_Fullname (44)	EventCode (26)	QuadClass  (29)	AvgTone (34)	SourceURL (60)
Zimbabwe	-9.08528	-78.5783	ZIMBABWE	Zimbabwe	NEWS EDITOR	Zimbabwe	Express intent to meet or negotiate	Material Conflict	7.3529	http://forextv.com/equities/equities-bolster-fmhl-earnings-the-zimbabwe-independent/
"Kentucky, United States"	34.2019	72.0525	KENTUCKY	"Kentucky, United States"	UNITED KINGDOM	United Kingdom	"Consult, not specified below"	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
United Kingdom	2.3834	99.2177	KENTUCKY	United Kingdom	UNITED KINGDOM	United Kingdom	Cooperate economically	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	34.2019	72.0525	KENTUCKY	"Kentucky, United States"	UNITED KINGDOM	"Kentucky, United States"	Praise or endorse	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	34.2019	72.0525	KENTUCKY	United Kingdom	UNITED KINGDOM	"Highland Heights, Kentucky, United States"	"Consult, not specified below"	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
United Kingdom	34.2019	72.0525	UNITED KINGDOM	United Kingdom	UNIVERSITY	United Kingdom	"Consult, not specified below"	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	-9.08528	-78.5783	UNITED KINGDOM	United Kingdom	KENTUCKY	"Kentucky, United States"	Express intent to meet or negotiate	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
United Kingdom	-9.08528	-78.5783	UNITED KINGDOM	United Kingdom	KENTUCKY	United Kingdom	Express intent to meet or negotiate	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	-9.08528	-78.5783	UNITED KINGDOM	United Kingdom	UNITED STATES	"Kentucky, United States"	Express intent to meet or negotiate	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	-9.08528	-78.5783	UNITED STATES	"Kentucky, United States"	UNITED KINGDOM	"Highland Heights, Kentucky, United States"	Express intent to meet or negotiate	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	14.659	121.069	UNITED STATES	United Kingdom	UNITED KINGDOM	"Kentucky, United States"	Accuse of aggression	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	60	100	UNITED STATES	United Kingdom	UNITED KINGDOM	United Kingdom	"Consult, not specified below"	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	14.659	121.069	UNITED STATES	"Kentucky, United States"	UNITED KINGDOM	United Kingdom	"Use conventional military force, not specified below"	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
United Kingdom	23.7231	90.4086	UNITED KINGDOM	United Kingdom	UNITED KINGDOM	United Kingdom	"Use conventional military force, not specified below"	Material Conflict	6.5	http://www.business-standard.com/article/news-ians/salman-khan-honoured-at-britain-s-house-of-commons-117091600114_1.html
United Kingdom	19	94.25	UNITED KINGDOM	United Kingdom	HOUSE OF COMMONS	United Kingdom	"Use conventional military force, not specified below"	Verbal Cooperation	6.4815	http://indianexpress.com/article/entertainment/bollywood/salman-khan-honoured-at-britains-house-of-commons-4845918/
"New York, United States"	14.659	121.069	UNITED STATES	"California, United States"			"Use conventional military force, not specified below"	Verbal Conflict	5.2434	https://www.wsj.com/articles/children-need-close-pals-not-popularity-1505485670
"Geneva, Genè, Switzerland"	23.7231	90.4086	GENEVA	"Geneva, Genè, Switzerland"	WORLD HEALTH ASSEMBLY	"Geneva, Genè, Switzerland"	Engage in ethnic cleansing	Material Conflict	4.9861	http://www.pireport.org/articles/2009/05/27/png-health-reforms-right-track
Papua New Guinea	19	94.25	PAPUA NEW GUINEA	Papua New Guinea			Engage in ethnic cleansing	Material Cooperation	4.9861	http://www.pireport.org/articles/2009/05/27/png-health-reforms-right-track
Papua New Guinea	19	94.25	PAPUA NEW GUINEA	Papua New Guinea			"Use conventional military force, not specified below"	Material Conflict	4.9861	http://www.pireport.org/articles/2009/05/27/png-health-reforms-right-track
"Geneva, Genè, Switzerland"	23.7231	90.4086	WORLD HEALTH ASSEMBLY	"Geneva, Genè, Switzerland"	GENEVA	"Geneva, Genè, Switzerland"	"Use conventional military force, not specified below"	Material Conflict	4.9861	http://www.pireport.org/articles/2009/05/27/png-health-reforms-right-track
Papua New Guinea	19	94.25	WORLD HEALTH ASSEMBLY	Papua New Guinea	GENEVA	Papua New Guinea	"Use conventional military force, not specified below"	Material Conflict	4.9861	http://www.pireport.org/articles/2009/05/27/png-health-reforms-right-track
Papua New Guinea	11.1812	-60.7353			PAPUA NEW GUINEA	Papua New Guinea	"Yield, not specified below"	Material Conflict	4.9861	http://www.pireport.org/articles/2009/05/27/png-health-reforms-right-track
"Melbourne, Victoria, Australia"	60	100	MELBOURNE	"Melbourne, Victoria, Australia"	SCHOOL	"Melbourne, Victoria, Australia"	"Express intent to cooperate, not specified below"	Material Conflict	4.6025	http://www.outinperth.com/coalition-marriage-launches-new-ad/
"Mangyan, Cebu, Philippines"	60	100	PHILIPPINE	"Mangyan, Cebu, Philippines"			"Consult, not specified below"	Verbal Conflict	4.2693	http://tempo.com.ph/2017/09/16/smart-school-in-a-bag-opens-up-learning-opportunities-for-mangyan-children/
"Mindoro, Zambales, Philippines"	60	100	PHILIPPINE	"Mindoro, Zambales, Philippines"			"Express intent to cooperate, not specified below"	Verbal Conflict	4.2693	http://tempo.com.ph/2017/09/16/smart-school-in-a-bag-opens-up-learning-opportunities-for-mangyan-children/
"Mangyan, Cebu, Philippines"	61.385	-152.268	PHILIPPINE	"Mangyan, Cebu, Philippines"	PHILIPPINE	"Sablayan, Sorsogon, Philippines"	Cooperate economically	Verbal Conflict	4.2693	http://tempo.com.ph/2017/09/16/smart-school-in-a-bag-opens-up-learning-opportunities-for-mangyan-children/
"Sablayan, Sorsogon, Philippines"	20	77	SCHOOL	"Sablayan, Sorsogon, Philippines"	PHILIPPINE	"Sablayan, Sorsogon, Philippines"	Cooperate economically	Material Conflict	4.2693	http://tempo.com.ph/2017/09/16/smart-school-in-a-bag-opens-up-learning-opportunities-for-mangyan-children/
"Mangyan, Cebu, Philippines"	20	77	SCHOOL	"Mangyan, Cebu, Philippines"	PHILIPPINE	"Mangyan, Cebu, Philippines"	Cooperate economically	Material Conflict	4.2693	http://tempo.com.ph/2017/09/16/smart-school-in-a-bag-opens-up-learning-opportunities-for-mangyan-children/
"Mindoro, Zambales, Philippines"	9.08333	7.53333	SCHOOL	"Mindoro, Zambales, Philippines"	PHILIPPINE	"Mindoro, Zambales, Philippines"	Make a visit	Material Conflict	4.2693	http://tempo.com.ph/2017/09/16/smart-school-in-a-bag-opens-up-learning-opportunities-for-mangyan-children/
"Mindoro, Zambales, Philippines"	42.1497	-74.9384			SCHOOL	"Mindoro, Zambales, Philippines"	Make a visit	Verbal Conflict	4.2693	http://tempo.com.ph/2017/09/16/smart-school-in-a-bag-opens-up-learning-opportunities-for-mangyan-children/
"West Virginia, United States"	51.5	-0.116667	UNITED STATES	"West Virginia, United States"	RESERVIST	"West Virginia, United States"	Make a visit	Verbal Conflict	4.2169	http://www.localdvm.com/news/west-virginia/us-sentate-discussing-national-defense-authorization-act/812140455
"West Virginia, United States"	51.5	-0.116667	WEST VIRGINIA	"State Of West Virginia, West Virginia, United States"	DEPARTMENT OF DEFENSE	"West Virginia, United States"	Express intent to meet or negotiate	Verbal Conflict	4.2169	http://www.localdvm.com/news/west-virginia/us-sentate-discussing-national-defense-authorization-act/812140455
"West Virginia, United States"	51.5	-0.116667	WEST VIRGINIA	"West Virginia, United States"	DEPARTMENT OF DEFENSE	"West Virginia, United States"	Express intent to meet or negotiate	Verbal Conflict	4.2169	http://www.localdvm.com/news/west-virginia/us-sentate-discussing-national-defense-authorization-act/812140455
"West Virginia, United States"	42.1497	-74.9384			RESERVIST	"West Virginia, United States"	Host a visit	Material Conflict	4.2169	http://www.localdvm.com/news/west-virginia/us-sentate-discussing-national-defense-authorization-act/812140455
"Ogun State, Ogun, Nigeria"	51.5	-0.116667	NIGERIA	"Ogun State, Ogun, Nigeria"			Host a visit	Material Conflict	4.1391	http://punchng.com/lppc-defers-swearing-in-of-san-designate-as-cjn-inaugurates-29-others-monday/
"Ogun State, Ogun, Nigeria"	14.5833	121	WEBSITE	"Ogun State, Ogun, Nigeria"			"Use conventional military force, not specified below"	Material Conflict	4.1391	http://punchng.com/lppc-defers-swearing-in-of-san-designate-as-cjn-inaugurates-29-others-monday/
Mexico	14.5833	121	UNITED STATES	Mexico			"Use conventional military force, not specified below"	Material Conflict	4.1026	http://www.daily-times.com/story/news/local/farmington/2017/09/15/free-clinic-provides-daca-renewal-assistance/671176001/
"New York, United States"	37.8716	-122.273	MEDIA	"New York, United States"	ENTREPRENEUR	"New York, United States"	Criticize or denounce	Material Conflict	4.1002	https://apparelmag.com/rent-runways-project-entrepreneur-supports-women-led-startups
"New York, United States"	37.8716	-122.273	MEDIA	"New York, United States"	ENTREPRENEUR	"New York, United States"	Expel or deport individuals	Material Conflict	4.1002	https://apparelmag.com/rent-runways-project-entrepreneur-supports-women-led-startups
"Missouri, United States"	14.4778	120.893	CORPORATION	"Missouri, United States"			"Engage in diplomatic cooperation, not specified below"	Material Conflict	4.0201	http://www.fourstateshomepage.com/news/home-ownership-help/812126985
"Missouri, United States"	14.4778	120.893	UNITED STATES	"Missouri, United States"			"Threaten with military force, not specified below"	Verbal Cooperation	4.0201	http://www.fourstateshomepage.com/news/home-ownership-help/812126985
"New York, United States"	14.6042	120.982	EUROPE	"New York, United States"			Engage in negotiation	Material Conflict	4.0115	http://www.koco.com/article/chipotle-model/12257902
"Texas, United States"	14.6042	120.982			EUROPE	"Texas, United States"	Engage in negotiation	Verbal Conflict	4.0115	http://www.koco.com/article/chipotle-model/12257902
"New Hampshire, United States"	33	44	NEW HAMPSHIRE	"New Hampshire, United States"	UNIVERSITY	"New Hampshire, United States"	"Use conventional military force, not specified below"	Material Conflict	4	http://nh1.com/news/commencement-season-reaches-peak-weekend-in-new-ha
"New Hampshire, United States"	33	44	UNIVERSITY	"New Hampshire, United States"	NEW HAMPSHIRE	"New Hampshire, United States"	"Use conventional military force, not specified below"	Material Conflict	4	http://nh1.com/news/commencement-season-reaches-peak-weekend-in-new-ha
"New Hampshire, United States"	39.9289	116.388			NEW HAMPSHIRE	"New Hampshire, United States"	Engage in negotiation	Material Conflict	4	http://nh1.com/news/commencement-season-reaches-peak-weekend-in-new-ha
Cambodia	25.2522	55.28	DELEGATE	Cambodia			Engage in negotiation	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
Cambodia	54.65	-8.11667	DELEGATE	Cambodia	POPULATION	Cambodia	"Make an appeal or request, not specified below"	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
Cambodia	35.7449	-86.7489	INDONESIA	Cambodia	PRESIDENT	Cambodia	"Express intent to cooperate, not specified below"	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
"Johannesburg, Gauteng, South Africa"	20	77	JOHANNESBURG	"Johannesburg, Gauteng, South Africa"	AFRICA	"Johannesburg, Gauteng, South Africa"	"Consult, not specified below"	Material Conflict	3.9474	http://www.bizcommunity.com/Job/196/12/324813.html
Cambodia	37.768	-78.2057	POPULATION	Cambodia	DELEGATE	Cambodia	"Consult, not specified below"	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
"Cikarang, Jawa Barat, Indonesia"	49.1	-122.733	PRESIDENT	"Cikarang, Jawa Barat, Indonesia"	PRESIDENT	"Cikarang, Jawa Barat, Indonesia"	Make a visit	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
"Cikarang, Jawa Barat, Indonesia"	20	77	PRESIDENT	"Cikarang, Jawa Barat, Indonesia"	INDONESIA	"Cikarang, Jawa Barat, Indonesia"	Make a visit	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
Cambodia	42.1497	-74.9384	PRESIDENT	Cambodia	PRESIDENT	Cambodia	Make a visit	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
Cambodia	31.2222	121.458			DELEGATE	Cambodia	Praise or endorse	Material Conflict	3.9474	http://www.thepresidentpost.com/2017/09/16/president-university-held-6th-annual-conference-president-model-united-nations/
"Shenandoah, Virginia, United States"	49.4167	-82.4333	UNITED STATES	"Shenandoah, Virginia, United States"			Praise or endorse	Material Conflict	3.9334	http://www.winchesterstar.com/news/clarke/locals-weigh-in-on-sanders-single-payer-plan/article_4a00232a-9ead-5262-b9df-c9eedf34f732.html
"Winchester Medical Center, Virginia, United States"	-20	-175	UNITED STATES	"Winchester Medical Center, Virginia, United States"			"Arrest, detain, or charge with legal action"	Material Conflict	3.9334	http://www.winchesterstar.com/news/clarke/locals-weigh-in-on-sanders-single-payer-plan/article_4a00232a-9ead-5262-b9df-c9eedf34f732.html
"Johannesburg, Gauteng, South Africa"	44.5167	-77.4833	AFRICA	"Johannesburg, Gauteng, South Africa"	COMPANY	"Johannesburg, Gauteng, South Africa"	"Make an appeal or request, not specified below"	Material Conflict	3.9136	http://www.bizcommunity.com/Job/196/12/324813.html
"Johannesburg, Gauteng, South Africa"	49.4167	-82.4333	JOHANNESBURG	"Johannesburg, Gauteng, South Africa"	COMPANY	"Johannesburg, Gauteng, South Africa"	"Express intent to cooperate, not specified below"	Material Conflict	3.8968	http://www.bizcommunity.com/Job/196/12/324813.html
"Beijing, Beijing, China"	44.5167	-77.4833	BEIJING	"Beijing, Beijing, China"	MINIST FOR COMMERCE	"Beijing, Beijing, China"	Host a visit	Material Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	44.5167	-77.4833	BEIJING	"Beijing, Beijing, China"	PAKISTAN	"Islamabad, Islamabad, Pakistan"	"Accuse, not specified below"	Material Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	43.6667	-79.4167	CHINA	"Beijing, Beijing, China"	MINIST FOR COMMERCE	"Islamabad, Islamabad, Pakistan"	"Accuse, not specified below"	Material Cooperation	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	45.6167	-62.6167	CHINA	"Beijing, Beijing, China"	PAKISTAN	"Islamabad, Islamabad, Pakistan"	"Accuse, not specified below"	Material Cooperation	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	49.1	-122.733	CHINA	"Islamabad, Islamabad, Pakistan"	PAKISTAN	"Islamabad, Islamabad, Pakistan"	Make a visit	Material Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Islamabad, Islamabad, Pakistan"	25.2522	55.28	CHINA	"Islamabad, Islamabad, Pakistan"	PAKISTAN	"Islamabad, Islamabad, Pakistan"	Host a visit	Material Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Islamabad, Islamabad, Pakistan"	44.0407	-72.7093	CHINESE	"Islamabad, Islamabad, Pakistan"	PAKISTAN	"Beijing, Beijing, China"	"Make statement, not specified below"	Material Cooperation	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	43.4108	-71.5653	MINIST FOR COMMERCE	"Beijing, Beijing, China"	BEIJING	"Beijing, Beijing, China"	Consider policy option	Material Cooperation	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	41.6005	-93.6091	MINIST FOR COMMERCE	"Islamabad, Islamabad, Pakistan"	CHINA	"Beijing, Beijing, China"	Express intent to meet or negotiate	Material Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	44.0407	-72.7093	PAKISTAN	"Islamabad, Islamabad, Pakistan"	CHINA	"Beijing, Beijing, China"	Make a visit	Material Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	32.9866	-83.6487	PAKISTAN	"Islamabad, Islamabad, Pakistan"	CHINA	"Islamabad, Islamabad, Pakistan"	Host a visit	Verbal Cooperation	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Islamabad, Islamabad, Pakistan"	7.06667	3.73333	PAKISTAN	"Islamabad, Islamabad, Pakistan"	CHINA	"Islamabad, Islamabad, Pakistan"	"Use conventional military force, not specified below"	Verbal Cooperation	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Beijing, Beijing, China"	28.0939	-97.2147	PAKISTAN	"Islamabad, Islamabad, Pakistan"	BEIJING	"Beijing, Beijing, China"	"Make an appeal or request, not specified below"	Verbal Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Islamabad, Islamabad, Pakistan"	37.4138	-79.1423	PAKISTAN	"Islamabad, Islamabad, Pakistan"	CHINA	"Islamabad, Islamabad, Pakistan"	"Make an appeal or request, not specified below"	Verbal Conflict	3.8596	https://www.thenews.com.pk/latest/230207-Breakthrough-in-Pak-China-talks-on-Free-Trade-Agreement
"Johannesburg, Gauteng, South Africa"	40.7834	-73.9385	JOHANNESBURG	"Johannesburg, Gauteng, South Africa"			"Make an appeal or request, not specified below"	Material Cooperation	3.8462	http://www.bizcommunity.com/Job/196/12/324811.html
Virgin Islands	39.9523	-75.1638	PHYSICIAN	Virgin Islands			"Consult, not specified below"	Verbal Conflict	3.7736	http://www.mychamplainvalley.com/news/vermont-national-guard-will-deploy-team-to-us-virgin-islands-to-assist-in-hurricane-irma-relief/812241780
Virgin Islands	49.1	-122.65	VERMONT	Virgin Islands	UNITED STATES	Virgin Islands	Praise or endorse	Verbal Cooperation	3.7736	http://www.mychamplainvalley.com/news/vermont-national-guard-will-deploy-team-to-us-virgin-islands-to-assist-in-hurricane-irma-relief/812241780
Virgin Islands	37.4138	-79.1423	VERMONT	Virgin Islands			Praise or endorse	Verbal Conflict	3.7736	http://www.mychamplainvalley.com/news/vermont-national-guard-will-deploy-team-to-us-virgin-islands-to-assist-in-hurricane-irma-relief/812241780
"Philadelphia, Pennsylvania, United States"	40.7834	-73.9662	COMMUNITY	"Philadelphia, Pennsylvania, United States"			Praise or endorse	Verbal Cooperation	3.7367	http://www.thewesterlysun.com/opinion/columnstaff/10872278-154/nautilus-nardone-two-area-treasures.html
"Philadelphia, Pennsylvania, United States"	39.2333	-95.0336	COMMUNITY	"Philadelphia, Pennsylvania, United States"			"Accuse, not specified below"	Verbal Cooperation	3.7367	http://www.thewesterlysun.com/opinion/columnstaff/10872278-154/nautilus-nardone-two-area-treasures.html
"Philadelphia, Pennsylvania, United States"	15.05	120.067	NAVAL	"Philadelphia, Pennsylvania, United States"			"Express intent to cooperate, not specified below"	Verbal Cooperation	3.7367	http://www.thewesterlysun.com/opinion/columnstaff/10872278-154/nautilus-nardone-two-area-treasures.html
"Philadelphia, Pennsylvania, United States"	30.6413	-96.3541	UNITED STATES	"Philadelphia, Pennsylvania, United States"			Express intent to meet or negotiate	Verbal Conflict	3.7367	http://www.thewesterlysun.com/opinion/columnstaff/10872278-154/nautilus-nardone-two-area-treasures.html
"Philadelphia, Pennsylvania, United States"	37.2958	-80.0554			COMMUNITY	"Philadelphia, Pennsylvania, United States"	Express intent to meet or negotiate	Verbal Conflict	3.7367	http://www.thewesterlysun.com/opinion/columnstaff/10872278-154/nautilus-nardone-two-area-treasures.html
"California, United States"	38.3566	-121.988	FIGHTER	"San Bernardino, California, United States"			"Consult, not specified below"	Verbal Conflict	3.7267	http://rock107.com/foo-fighters-detail-the-making-of-concrete-and-gold-in-animated-mini-doc/
"California, United States"	40.1135	-111.854	FIGHTER	"California, United States"			"Consult, not specified below"	Verbal Conflict	3.7267	http://rock107.com/foo-fighters-detail-the-making-of-concrete-and-gold-in-animated-mini-doc/
"Annapolis Royal, Nova Scotia, Canada"	3.16667	101.7	CANADA	"Annapolis Royal, Nova Scotia, Canada"	GRENADA	"Port Royal, Saint George, Grenada"	"Arrest, detain, or charge with legal action"	Verbal Conflict	3.607	http://www.novanewsnow.com/news/local/2017/9/15/candles--dance-and-song-marks-opening-of-larche-homefires-buildi.html
"Annapolis Royal, Nova Scotia, Canada"	31.106	-97.6475	CANADA	"Annapolis Royal, Nova Scotia, Canada"	GRENADA	"Annapolis Royal, Nova Scotia, Canada"	Host a visit	Verbal Conflict	3.607	http://www.novanewsnow.com/news/local/2017/9/15/candles--dance-and-song-marks-opening-of-larche-homefires-buildi.html
"Wolfville, Nova Scotia, Canada"	36	138	COMMUNITY	"Wolfville, Nova Scotia, Canada"			Make a visit	Verbal Cooperation	3.607	http://www.novanewsnow.com/news/local/2017/9/15/candles--dance-and-song-marks-opening-of-larche-homefires-buildi.html
"Annapolis Royal, Nova Scotia, Canada"	9.08333	7.53333	GRENADA	"Port Royal, Saint George, Grenada"	CANADA	"Annapolis Royal, Nova Scotia, Canada"	Make a visit	Material Cooperation	3.607	http://www.novanewsnow.com/news/local/2017/9/15/candles--dance-and-song-marks-opening-of-larche-homefires-buildi.html
"Annapolis Royal, Nova Scotia, Canada"	7.06667	3.73333	GRENADA	"Annapolis Royal, Nova Scotia, Canada"	CANADA	"Annapolis Royal, Nova Scotia, Canada"	Engage in negotiation	Material Cooperation	3.607	http://www.novanewsnow.com/news/local/2017/9/15/candles--dance-and-song-marks-opening-of-larche-homefires-buildi.html
"Kentucky, United States"	49.1	-122.733	EMBASSY	"Kentucky, United States"			Make pessimistic comment	Verbal Cooperation	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Coldstream, Scottish Borders, The, United Kingdom"	49.1	-122.65	EMBASSY	"Coldstream, Scottish Borders, The, United Kingdom"	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	Make pessimistic comment	Verbal Conflict	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Kentucky, United States"	49.1	-122.65	EMBASSY	"Coldstream, Scottish Borders, The, United Kingdom"	UNITED KINGDOM	"Kentucky, United States"	Make pessimistic comment	Verbal Cooperation	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Kentucky, United States"	10	8	EMBASSY	"Kentucky, United States"	UNITED KINGDOM	"Kentucky, United States"	"Make an appeal or request, not specified below"	Verbal Conflict	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Coldstream, Scottish Borders, The, United Kingdom"	26.4667	80.35	KENTUCKY	"Coldstream, Scottish Borders, The, United Kingdom"	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	Express intent to meet or negotiate	Verbal Cooperation	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Kentucky, United States"	34.4454	73.5113	KENTUCKY	"Kentucky, United States"	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	Express intent to meet or negotiate	Material Conflict	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Coldstream, Scottish Borders, The, United Kingdom"	26.4667	80.35	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	EMBASSY	"Kentucky, United States"	Host a visit	Material Conflict	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Kentucky, United States"	14.4778	120.893	UNITED KINGDOM	"Kentucky, United States"	EMBASSY	"Highland Heights, Kentucky, United States"	Praise or endorse	Verbal Cooperation	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Coldstream, Scottish Borders, The, United Kingdom"	11.1812	-60.7353	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	KENTUCKY	"Coldstream, Scottish Borders, The, United Kingdom"	Praise or endorse	Verbal Cooperation	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Kentucky, United States"	49.1	-122.733	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	KENTUCKY	"Kentucky, United States"	"Demand, not specified below"	Material Cooperation	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Kentucky, United States"	49.1	-122.65	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	UNITED STATES	"Kentucky, United States"	"Demand, not specified below"	Verbal Conflict	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
"Kentucky, United States"	37.8716	-122.273	UNITED STATES	"Kentucky, United States"	UNITED KINGDOM	"Coldstream, Scottish Borders, The, United Kingdom"	"Accuse, not specified below"	Material Cooperation	3.6023	http://uknow.uky.edu/campus-news/new-uk-deans-evpha-receive-board-approval
	32.9866	-83.6487	GOVERNOR		GOVERNOR		"Use conventional military force, not specified below"	Verbal Conflict	3.5857	http://punchng.com/pdp-elders-endorse-fayoses-deputy-as-candidate/
"Paris, France (general), France"	11	-61	CANADA	"Montreal, Quebec, Canada"	SENATE	"Montreal, Quebec, Canada"	"Use conventional military force, not specified below"	Verbal Cooperation	3.4926	https://www.insidebelleville.com/news-story/7557734-council-approves-trent-port-marina-price-incentive-at-2017-rates/
"Paris, France (general), France"	41.833333	22	CANADA	"Montreal, Quebec, Canada"	SENATE	"Montreal, Quebec, Canada"	Express intent to meet or negotiate	Verbal Conflict	3.4926	https://www.insidebelleville.com/news-story/7557734-council-approves-trent-port-marina-price-incentive-at-2017-rates/
	51.4667	-0.45	CHRISTIAN				Make a visit	Verbal Cooperation	3.352	http://www.swapacd.com/Selfmindead-Barricades-Fall/cd/460447/
"Cebuana, Leyte, Philippines"	51.4667	-0.45	PHILIPPINE	"Cebuana, Leyte, Philippines"			Make a visit	Verbal Cooperation	3.125	http://tempo.com.ph/2017/09/16/devons-reward-for-being-patient/
