ActionGeo_Fullname (52)	ActionGeo_Lat (56)	ActionGeo_Long (57)	Actor1Name (6)	Actor1Geo_Fullname (36)	Actor2Name (16)	Actor2Geo_Fullname (44)	EventCode (26)	QuadClass  (29)	AvgTone (34)	SourceURL (60)
Iraq	37.8691	-122.261	CANADA	"Montreal, Quebec, Canada"	IRAQ	Iraq	"Make statement, not specified below"	Verbal Cooperation	-0.3337	https://www.insidebelleville.com/whatson-story/7558808-rosie-o-donnell-s-ex-wife-dead/
"Trenton, Nova Scotia, Canada"	37.8716	-122.273			ONTARIO	"Trenton, Nova Scotia, Canada"	"Make statement, not specified below"	Verbal Cooperation	-0.3535	https://www.insidebelleville.com/whatson-story/7557585-lunch-n-learn-series-reaches-out-to-seniors/
"Trenton, Nova Scotia, Canada"	37.8716	-122.273	IRAQ	"Trenton, Nova Scotia, Canada"	CANADA	"Trenton, Nova Scotia, Canada"	"Make statement, not specified below"	Verbal Cooperation	-0.3702	https://www.insidebelleville.com/news-story/7558955-grandmother-of-boy-killed-by-dogs-devastated-/
Canada	32.7425	-117.031	UNITED NATIONS	Canada			Make optimistic comment	Verbal Cooperation	-0.3831	http://www.mankatofreepress.com/opinion/letters_to_the_editor/united-states-should-sign-treaty/article_9da74868-7697-5953-a685-caaf2ade092a.html
Canada	32.7153	-117.157			UNITED NATIONS	Canada	Make optimistic comment	Material Conflict	-0.3831	http://www.mankatofreepress.com/opinion/letters_to_the_editor/united-states-should-sign-treaty/article_9da74868-7697-5953-a685-caaf2ade092a.html
Iraq	37.2958	-80.0554	CANADA	"Trenton, Nova Scotia, Canada"	IRAQ	Iraq	Express intent to meet or negotiate	Material Conflict	-0.4276	https://www.insidebelleville.com/news-story/7558175-interest-in-govt-softwood-aid-low-carr/
"Battambang, Batdââ, Cambodia"	30.6413	-96.3541	PHNOM PENH	"Battambang, Batdââ, Cambodia"	THAI	"Battambang, Batdââ, Cambodia"	Express intent to meet or negotiate	Material Conflict	-0.4354	http://news.xinhuanet.com/english/2017-09/16/c_136614147.htm
"Battambang, Batdââ, Cambodia"	37.768	-78.2057	THAILAND	"Battambang, Batdââ, Cambodia"	PHNOM PENH	"Battambang, Batdââ, Cambodia"	Express intent to meet or negotiate	Material Conflict	-0.4354	http://news.xinhuanet.com/english/2017-09/16/c_136614147.htm
Thailand	43.4108	-71.5653			THAILAND	Thailand	Make a visit	Material Conflict	-0.4354	http://news.xinhuanet.com/english/2017-09/16/c_136614147.htm
"Trenton, Nova Scotia, Canada"	38.3566	-121.988	CANADA	"Trenton, Nova Scotia, Canada"	SENATE	"Trenton, Nova Scotia, Canada"	Praise or endorse	Material Conflict	-0.445	https://www.insidebelleville.com/whatson-story/7557585-lunch-n-learn-series-reaches-out-to-seniors/
"Trenton, Nova Scotia, Canada"	38.3566	-121.988	CANADA	"Trenton, Nova Scotia, Canada"	SENATE	"Trenton, Nova Scotia, Canada"	"Investigate, not specified below"	Material Conflict	-0.445	https://www.insidebelleville.com/whatson-story/7557585-lunch-n-learn-series-reaches-out-to-seniors/
"Montreal, Quebec, Canada"	31.106	-97.6475	CANADA	Iraq	SENATE	"Montreal, Quebec, Canada"	Host a visit	Material Conflict	-0.4549	https://www.insidebelleville.com/whatson-story/7558928-brooklyn-beckham-s-university-fangirls-/
"Enugu State, Enugu, Nigeria"	43.3504	-84.5603	GOVERNOR	"Enugu State, Enugu, Nigeria"			"Investigate, not specified below"	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	38.8951	-77.0364	GOVERNOR	"Anambra State, Anambra, Nigeria"	RESIDENTS	"Anambra State, Anambra, Nigeria"	Express intent to meet or negotiate	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	13.0833	80.2833	GOVERNOR	"Enugu State, Enugu, Nigeria"	RESIDENTS	"Enugu State, Enugu, Nigeria"	"Consult, not specified below"	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	45.6167	-62.6167	GOVERNOR	"Enugu State, Enugu, Nigeria"	JOURNALIST	"Enugu State, Enugu, Nigeria"	Praise or endorse	Material Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	19	94.25	GOVERNOR	"Enugu State, Enugu, Nigeria"	JOURNALIST	"Enugu State, Enugu, Nigeria"	"Make statement, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	32.9639	118.153	GOVERNOR	"Anambra State, Anambra, Nigeria"	ARMY	"Anambra State, Anambra, Nigeria"	"Make an appeal or request, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	22.3821	113.498	GOVERNOR	"Enugu State, Enugu, Nigeria"	ARMY	"Enugu State, Enugu, Nigeria"	"Make an appeal or request, not specified below"	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	49.75	6.166667	GOVERNOR	"Anambra State, Anambra, Nigeria"	NIGERIA	"Anambra State, Anambra, Nigeria"	"Consult, not specified below"	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	42.1497	-74.9384	GOVERNOR	"Enugu State, Enugu, Nigeria"	NIGERIA	"Enugu State, Enugu, Nigeria"	Make a visit	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	48.8667	2.33333	GOVERNOR	"Enugu State, Enugu, Nigeria"	NIGERIA	"Enugu State, Enugu, Nigeria"	"Make an appeal or request, not specified below"	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	48.8667	2.33333	GOVERNOR	"Enugu State, Enugu, Nigeria"	NIGERIA	"Enugu State, Enugu, Nigeria"	Appeal for diplomatic cooperation (such as policy support)	Material Conflict	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	39.9289	116.388	GOVERNOR	"Enugu State, Enugu, Nigeria"	NIGERIA	"Enugu State, Enugu, Nigeria"	Appeal for diplomatic cooperation (such as policy support)	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	42.833333	12.833333	JOURNALIST	"Enugu State, Enugu, Nigeria"	GOVERNOR	"Enugu State, Enugu, Nigeria"	"Make an appeal or request, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	-19.15	178.183	NIGERIA	"Anambra State, Anambra, Nigeria"			Praise or endorse	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	44.5167	-77.4833	NIGERIA	"Enugu State, Enugu, Nigeria"			"Make an appeal or request, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	44.5167	-77.4833	NIGERIA	"Enugu State, Enugu, Nigeria"			"Make an appeal or request, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	48.8667	2.33333	NIGERIA	"Anambra State, Anambra, Nigeria"			Appeal for diplomatic cooperation (such as policy support)	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	48.8667	2.33333	NIGERIA	"Enugu State, Enugu, Nigeria"			Appeal for diplomatic cooperation (such as policy support)	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	39.9289	116.388	NIGERIA	"Enugu State, Enugu, Nigeria"			Appeal for diplomatic cooperation (such as policy support)	Material Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	48.8667	2.33333	NIGERIA	"Enugu State, Enugu, Nigeria"	POLICE	"Enugu State, Enugu, Nigeria"	"Consult, not specified below"	Material Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	39.9289	116.388	NIGERIA	"Enugu State, Enugu, Nigeria"	GOVERNOR	"Enugu State, Enugu, Nigeria"	"Consult, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	39.9289	116.388	PRESIDENT	"Anambra State, Anambra, Nigeria"	POLICE	"Anambra State, Anambra, Nigeria"	"Consult, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	32.9639	118.153	PRESIDENT	"Enugu State, Enugu, Nigeria"	NIGERIA	"Enugu State, Enugu, Nigeria"	"Demand, not specified below"	Material Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Anambra State, Anambra, Nigeria"	32.9639	118.153	WEBSITE	"Anambra State, Anambra, Nigeria"			"Demand, not specified below"	Material Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	44.5167	-77.4833	WEBSITE	"Enugu State, Enugu, Nigeria"			"Express intent to cooperate, not specified below"	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	48.8667	2.33333			NIGERIA	"Enugu State, Enugu, Nigeria"	Appeal for diplomatic cooperation (such as policy support)	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"Enugu State, Enugu, Nigeria"	48.8667	2.33333			NIGERIA	"Enugu State, Enugu, Nigeria"	Appeal for diplomatic cooperation (such as policy support)	Verbal Cooperation	-0.4854	http://punchng.com/south-east-governors-proscribe-ipob-activities-urge-buhari-to-withdraw-army/
"North Stonington, Connecticut, United States"	39.9289	116.388	UNITED STATES	"North Stonington, Connecticut, United States"			Appeal for diplomatic cooperation (such as policy support)	Verbal Cooperation	-0.4886	http://www.thewesterlysun.com/news/northstonington/10872425-154/north-stonington-voters-to-decide-fate-of-historic-green-gables.html
Iraq	39.9272	32.8644	IRAQ	Iraq	CANADA	"Montreal, Quebec, Canada"	Host a visit	Material Conflict	-0.4983	https://www.insidebelleville.com/whatson-story/7558928-brooklyn-beckham-s-university-fangirls-/
"North Hollywood, California, United States"	46	2	UNITED STATES	"North Hollywood, California, United States"			Host a visit	Verbal Cooperation	-0.5803	http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-after-holding-out-on-housing-vote-an-1505532854-htmlstory.html
"North Hollywood, California, United States"	40	45	UNITED STATES	"North Hollywood, California, United States"			"Impose administrative sanctions, not specified below"	Material Conflict	-0.5803	http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-after-holding-out-on-housing-vote-an-1505532854-htmlstory.html
